resume_text,category
"Bachelor of Science in Computer Science. 5 years experience. Skills: Java, Python, C++, algorithms, data structures, OOP, design patterns, testing, debugging, Git. Experience: Collaborated with cross-functional teams in Agile environment",Software Engineer
"Bachelor of Science in Information Systems. 3 years experience. Skills: MongoDB, NoSQL, database administration, sharding, backup strategies, security. Experience: Performed database migrations with zero downtime",Database Administrator
"Bachelor of Technology in Information Technology. 7 years experience. Skills: Azure, Docker, Kubernetes, GitLab CI, infrastructure as code, Ansible, monitoring tools. Experience: Migrated on-premise infrastructure to AWS cloud",DevOps/Cloud Engineer
"Bachelor of Science in Computer Science. 5 years experience. Skills: Oracle, PL/SQL, database optimization, indexing, stored procedures, data migration. Experience: Managed database systems supporting thousands of concurrent users",Database Administrator
"Master of Technology in Data Science. 2 years experience. Skills: machine learning algorithms, scikit-learn, Keras, model deployment, feature engineering. Experience: Deployed ML models to production using MLflow and Docker",AI/ML Engineer
"Bachelor of Science in Information Systems. 6 years experience. Skills: Sketch, InVision, user interface design, interaction design, typography, color theory. Experience: Designed user interfaces for web and mobile applications",UI/UX Designer
"Master of Science in Computer Science. 6 years experience. Skills: cloud security, AWS security, identity management, zero trust, SOC operations, SIEM tools. Experience: Implemented security measures reducing vulnerabilities by 70%",Cybersecurity Engineer
"Bachelor of Science in Computer Science. 2 years experience. Skills: JavaScript, TypeScript, Vue.js, Tailwind CSS, REST APIs, web accessibility, SEO. Experience: Collaborated with designers to create pixel-perfect interfaces",Web Developer
"Bachelor of Engineering in Software Engineering. 4 years experience. Skills: Java, TestNG, JUnit, API testing, Postman, continuous testing, quality assurance. Experience: Identified and documented critical bugs improving product quality",QA Engineer
"Bachelor of Science in Computer Science. 5 years experience. Skills: Kubernetes, Helm, Docker, Jenkins, AWS, networking, load balancing, disaster recovery. Experience: Managed Kubernetes clusters for microservices architecture",DevOps/Cloud Engineer
"Bachelor of Technology in Information Technology. 5 years experience. Skills: Java Spring Boot, PostgreSQL, Redis, Kafka, distributed systems, TDD. Experience: Collaborated with cross-functional teams in Agile environment",Software Engineer
"Master of Science in Computer Science. 3 years experience. Skills: SQL Server, database design, performance tuning, backup and recovery, high availability. Experience: Monitored database health and resolved performance bottlenecks",Database Administrator
"Bachelor of Technology in Information Technology. 8 years experience. Skills: machine learning algorithms, scikit-learn, Keras, model deployment, feature engineering. Experience: Developed machine learning models for customer churn prediction",AI/ML Engineer
"Bachelor of Science in Information Systems. 6 years experience. Skills: R, SQL, Excel, regression analysis, A/B testing, data cleaning, storytelling. Experience: Conducted A/B tests to optimize user engagement metrics",Data Scientist
"Bachelor of Engineering in Software Engineering. 6 years experience. Skills: Python, R, SQL, pandas, NumPy, statistical analysis, data visualization, Tableau, machine learning. Experience: Created interactive dashboards for executive decision-making",Data Scientist
"Bachelor of Science in Computer Science. 2 years experience. Skills: Python, Jupyter, matplotlib, seaborn, exploratory data analysis, feature selection. Experience: Conducted A/B tests to optimize user engagement metrics",Data Scientist
"Bachelor of Technology in Information Technology. 3 years experience. Skills: Sketch, InVision, user interface design, interaction design, typography, color theory. Experience: Created design systems and component libraries",UI/UX Designer
"Bachelor of Technology in Information Technology. 5 years experience. Skills: Cypress, JavaScript, end-to-end testing, test planning, defect management, Agile testing. Experience: Designed and executed comprehensive test plans for web applications",QA Engineer
"Bachelor of Science in Computer Science. 1 years experience. Skills: product lifecycle, requirements gathering, prioritization, data-driven decisions, A/B testing. Experience: Defined product roadmap and prioritized features based on user feedback",Product Manager
"Bachelor of Technology in Information Technology. 3 years experience. Skills: C++, Python, multithreading, Linux, debugging, version control, problem solving. Experience: Implemented new features for enterprise software using Java and Spring",Software Engineer
"Master of Technology in Data Science. 8 years experience. Skills: iOS, Android, mobile UI/UX, performance optimization, push notifications, in-app purchases. Experience: Integrated payment gateways and push notification systems",Mobile Developer
"Master of Technology in Data Science. 3 years experience. Skills: AWS, Docker, Kubernetes, CI/CD, Jenkins, Terraform, Linux, monitoring, automation. Experience: Automated infrastructure deployment using Terraform and Ansible",DevOps/Cloud Engineer
"Bachelor of Science in Information Systems. 4 years experience. Skills: MySQL, PostgreSQL, replication, clustering, monitoring, query optimization, data integrity. Experience: Performed database migrations with zero downtime",Database Administrator
"Master of Technology in Data Science. 6 years experience. Skills: TensorFlow, Keras, reinforcement learning, MLflow, model serving, AutoML. Experience: Fine-tuned transformer models for document classification",AI/ML Engineer
"Bachelor of Engineering in Software Engineering. 8 years experience. Skills: TensorFlow, Keras, reinforcement learning, MLflow, model serving, AutoML. Experience: Fine-tuned transformer models for document classification",AI/ML Engineer
"Bachelor of Technology in Information Technology. 2 years experience. Skills: Angular, Django, PostgreSQL, Docker, TypeScript, API development, testing, deployment. Experience: Deployed applications to cloud platforms using Docker",FullStack Developer
"Bachelor of Science in Computer Science. 2 years experience. Skills: Python, pytest, test automation frameworks, CI/CD integration, performance testing. Experience: Automated test cases reducing testing time by 50%",QA Engineer
"Master of Technology in Data Science. 8 years experience. Skills: user experience, user flows, personas, information architecture, accessibility, responsive design. Experience: Prototyped interactive designs using Figma and Adobe XD",UI/UX Designer
"Bachelor of Technology in Information Technology. 4 years experience. Skills: Vue.js, Python Flask, MySQL, Redis, authentication, authorization, microservices. Experience: Participated in code reviews and mentored junior developers",FullStack Developer
"Bachelor of Technology in Information Technology. 3 years experience. Skills: React Native, JavaScript, TypeScript, cross-platform development, Redux, native modules. Experience: Implemented real-time features using WebSockets and Firebase",Mobile Developer
"Bachelor of Technology in Information Technology. 4 years experience. Skills: Cypress, JavaScript, end-to-end testing, test planning, defect management, Agile testing. Experience: Designed and executed comprehensive test plans for web applications",QA Engineer
"Master of Science in Computer Science. 3 years experience. Skills: Java Spring Boot, PostgreSQL, Redis, Kafka, distributed systems, TDD. Experience: Optimized database queries reducing response time by 40%",Software Engineer
"Master of Science in Computer Science. 8 years experience. Skills: JavaScript, Angular, SASS, responsive design, Progressive Web Apps, performance optimization. Experience: Implemented UI/UX designs improving user engagement by 30%",Web Developer
"Bachelor of Science in Information Systems. 1 years experience. Skills: product development, feature definition, go-to-market strategy, customer feedback, analytics. Experience: Conducted market research and competitive analysis",Product Manager
"Master of Technology in Data Science. 7 years experience. Skills: AWS, Docker, Kubernetes, CI/CD, Jenkins, Terraform, Linux, monitoring, automation. Experience: Built CI/CD pipelines reducing deployment time by 60%",DevOps/Cloud Engineer
"Bachelor of Science in Computer Science. 7 years experience. Skills: malware analysis, forensics, threat intelligence, security monitoring, vulnerability management. Experience: Monitored network traffic and detected potential threats using SIEM",Cybersecurity Engineer
"Bachelor of Science in Computer Science. 2 years experience. Skills: SQL Server, database design, performance tuning, backup and recovery, high availability. Experience: Implemented backup and disaster recovery strategies",Database Administrator
"Master of Technology in Data Science. 8 years experience. Skills: machine learning algorithms, scikit-learn, Keras, model deployment, feature engineering. Experience: Developed machine learning models for customer churn prediction",AI/ML Engineer
"Bachelor of Science in Information Systems. 8 years experience. Skills: database architecture, ETL processes, data warehousing, SQL tuning, disaster recovery. Experience: Implemented backup and disaster recovery strategies",Database Administrator
"Bachelor of Science in Computer Science. 6 years experience. Skills: Python, scikit-learn, data mining, predictive modeling, hypothesis testing, Power BI. Experience: Created interactive dashboards for executive decision-making",Data Scientist
"Bachelor of Engineering in Software Engineering. 5 years experience. Skills: user experience, user flows, personas, information architecture, accessibility, responsive design. Experience: Conducted user research and usability testing improving satisfaction by 40%",UI/UX Designer
"Master of Science in Computer Science. 7 years experience. Skills: MySQL, PostgreSQL, replication, clustering, monitoring, query optimization, data integrity. Experience: Implemented backup and disaster recovery strategies",Database Administrator
"Bachelor of Engineering in Software Engineering. 5 years experience. Skills: Python, transformers, BERT, GPT, fine-tuning, model optimization, A/B testing. Experience: Developed machine learning models for customer churn prediction",AI/ML Engineer
